Location ID,Time,Recorder,Rec Count,Page,Segment,Direction,Count,Gender ,Age_Y,Age_O,Helmet,Wrong way,Sidewalk,Distracted,Pedestrian,Notes,Construction
101,AM,Joe (Okie) Oconnor,1,1,1,1,2,,,,2,,,,1,,
101,AM,Joe (Okie) Oconnor,1,1,1,2,2,,,,2,,,,1,,
101,AM,Joe (Okie) Oconnor,1,1,1,3,1,1,,,1,,1,,,,
101,AM,Joe (Okie) Oconnor,1,1,1,4,2,,,,2,,,,1,,
101,AM,Joe (Okie) Oconnor,1,1,2,1,5,,,,4,,,,1,,
101,AM,Joe (Okie) Oconnor,1,1,2,2,1,,,,1,,,,,,
101,AM,Joe (Okie) Oconnor,1,1,2,3,3,,,,2,,1,,,,
101,AM,Joe (Okie) Oconnor,1,1,2,4,2,1,,,2,,,,,,
101,AM,Joe (Okie) Oconnor,1,1,3,1,6,,,,6,1,1,,,,
101,AM,Joe (Okie) Oconnor,1,1,3,2,,,,,,,,,2,,
101,AM,Joe (Okie) Oconnor,1,1,3,3,,,,,,,,,2,,
101,AM,Joe (Okie) Oconnor,1,1,3,4,,,,,,,,,,,
101,AM,Joe (Okie) Oconnor,1,1,4,1,2,,,,,,1,,,,
101,AM,Joe (Okie) Oconnor,1,1,4,2,,,,,,,,,,,
101,AM,Joe (Okie) Oconnor,1,1,4,3,1,,,,,,,,,,
101,AM,Joe (Okie) Oconnor,1,1,4,4,7,2,,,7,,,,1,,
101,AM,Joe (Okie) Oconnor,1,2,1,1,3,,,,3,,,,5,,
101,AM,Joe (Okie) Oconnor,1,2,1,2,2,,,,,1,2,,2,,
101,AM,Joe (Okie) Oconnor,1,2,1,3,,,,,,,,,2,,
101,AM,Joe (Okie) Oconnor,1,2,1,4,2,,,,1,1,1,,,,
101,AM,Joe (Okie) Oconnor,1,2,2,1,1,,,,1,,,,3,,
101,AM,Joe (Okie) Oconnor,1,2,2,2,3,1,,,3,,,,,,
101,AM,Joe (Okie) Oconnor,1,2,2,3,2,1,,,1,,1,,,,
101,AM,Joe (Okie) Oconnor,1,2,2,4,2,1,,,2,,1,,,,
101,AM,Joe (Okie) Oconnor,1,2,3,1,2,,,,2,,,,1,,
101,AM,Joe (Okie) Oconnor,1,2,3,2,,,,,,,,,2,,
101,AM,Joe (Okie) Oconnor,1,2,3,3,4,2,,,2,,1,,2,,
101,AM,Joe (Okie) Oconnor,1,2,3,4,4,,,,2,,1,,1,,
101,AM,Joe (Okie) Oconnor,1,2,4,1,5,,,,3,,2,,,,
101,AM,Joe (Okie) Oconnor,1,2,4,2,,,,,,,,,,,
