LocID,LocEW,LocNS,Cordon,NB_ASU_in,SB_ASU_in,EB_ASU_in,WB_ASU_in,NBLane,SBLane,EBLane,WBLane,NBZip,SBZip,Zone,DistASU,Traffic,TrafficNS,TrafficEW,Latitude,Longitude,NBswSkip,SBswSkip,EBswSkip,WBswSkip,LocNameShort,LocEWshort,LocNSshort,Node1,Node2,Node3,Node4
101,Washington/Curry,Mill Ave,0,,,,,3,0,3,0,1,1,3,0.6,12870,12870,12111,33.437574,-111.943254,,,,,Curry & Mill,Curry,Mill,11,12,,
102,Rio Salado Pkwy,Mill Ave,1,,1,1,,3,3,3,3,1,1,3,0,24622,16813,24622,33.42969,-111.94045,,,,,Rio Sal. & Mill,Rio Sal.,Mill,25,20,17,
103,Rio Salado Pkwy,Rural Rd,1,,1,,1,0,0,3,3,1,1,1,0,44461,44461,24622,33.42885,-111.92628,,,,,Rio Sal. & Rural,Rio Sal.,Rural,26,27,25,18
104,Rio Salado Pkwy,McClintock Dr,0,,,,,0,0,3,3,1,1,,1,32685,32685,31439,33.429145,-111.908898,,,,,Rio Sal. & McClntk,Rio Sal.,McClntk,28,31,19,27
105,Rio Salado Pkwy,Hardy Dr,0,,,,,3,4,1,1,1,1,,0.83,13432,7686,13432,33.430948,-111.95246,,,,,Rio Sal. & Hardy,Rio Sal.,Hardy,20,34,16,
106,5th St,Mill Ave,1,,,1,,3,3,3,3,1,1,3,0,16813,16813,7277,33.425445,-111.939799,,,,,5th & Mill,5th,Mill,24,23,17,
107,5th St,Forest Ave,0,,,,,0,0,3,3,1,1,,0,7277,NA,7277,33.425445,-111.936499,,,,,5th & Forest,5th,Forest,24,,,
108,5th St,Farmer Ave,0,,,,,0,0,3,3,1,1,,0.25,4389,NA,4389,33.425445,-111.944099,,,,,5th & Farmer,5th,Farmer,23,,,
109,5th St,Hardy Dr,0,,,,,3,3,3,3,1,1,,0.72,7686,7686,4521,33.425545,-111.952199,,,,,5th & Hardy,5th,Hardy,23,22,34,
110,5th St,Priest Dr,0,,,,,1,1,0,3,1,1,,1.24,35090,35090,4521,33.4256,-111.96095,,,,,5th & Priest,5th,Priest,22,21,,
111,10th St,Mill Ave,1,,,1,,0,0,2,3,1,1,3,0,27094,27094,NA,33.418945,-111.939799,,,,,10th & Mill,10th,Mill,49,,,
112,Superstition Fwy,College Ave,0,,,,,2,3,0,0,2,2,,2,1860,1860,NA,33.38595,-111.93508,1,1,1,1,60 Fwy & College,60 Fwy,College,101,90,,
113,13th St,Mill Ave,1,1,,1,,1,0,3,3,1,1,3,0,27094,27094,3036,33.414645,-111.939799,,,,,13th & Mill,13th,Mill,58,49,59,
114,13th St,Hardy Dr,0,,,,,3,3,3,3,1,1,,0.72,8840,8840,3036,33.414645,-111.951999,,,,,13th & Hardy,13th,Hardy,58,51,50,
