"Location ID",Time,Recorder,"Rec Count",Page,Segment,Direction,Count,"Gender ",Age_Y,Age_O,Helmet,"Wrong way",Sidewalk,Distracted,Pedestrian,Motoroized,Electric,Decor/Lights,"ADA Peds","ADA Chairs",Notes,Construction,LocRank,LocRankUniq,Seg,Seg1,LocTime,LocTimeDir,,"Gender ",Age_Y,Age_O,Helmet,"Wrong way",Sidewalk,Distracted,,"Cordon in","Cordon out","Bike Lane Size","Bike Lane"
101,AM,"Joe (Okie) Oconnor",1,1,1,1,2,,,,2,,,,1,,,,,,,,1,1,1,101_1,101AM,101AMNS,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,1,1,2,2,,,,2,,,,1,,,,,,,,1,,1,101_1,101AM,101AMNS,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,1,1,3,1,1,,,1,,1,,,,,,,,,,1,,1,101_1,101AM,101AMEW,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,1,1,4,2,,,,2,,,,1,,,,,,,,1,,1,101_1,101AM,101AMEW,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,1,2,1,5,,,,4,,,,1,,,,,,,,1,,2,101_2,101AM,101AMNS,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,1,2,2,1,,,,1,,,,,,,,,,,,1,,2,101_2,101AM,101AMNS,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,1,2,3,3,,,,2,,1,,,,,,,,,,1,,2,101_2,101AM,101AMEW,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,1,2,4,2,1,,,2,,,,,,,,,,,,1,,2,101_2,101AM,101AMEW,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,1,3,1,6,,,,6,1,1,,,,,,,,,,1,,3,101_3,101AM,101AMNS,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,1,3,2,,,,,,,,,2,,,,,,,,1,,3,101_3,101AM,101AMNS,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,1,3,3,,,,,,,,,2,,,,,,,,1,,3,101_3,101AM,101AMEW,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,1,3,4,,,,,,,,,,,,,,,,,1,,3,101_3,101AM,101AMEW,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,1,4,1,2,,,,,,1,,,,,,,,,,1,,4,101_4,101AM,101AMNS,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,1,4,2,,,,,,,,,,,,,,,,,1,,4,101_4,101AM,101AMNS,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,1,4,3,1,,,,,,,,,,,,,,,,1,,4,101_4,101AM,101AMEW,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,1,4,4,7,2,,,7,,,,1,,,,,,,,1,,4,101_4,101AM,101AMEW,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,1,,,,,,,,,,,,,,,,,,,1,,,,101AM,,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,2,1,1,3,,,,3,,,,5,,,,,,,,1,,5,101_5,101AM,101AMNS,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,2,1,2,2,,,,,1,2,,2,,,,,,,,1,,5,101_5,101AM,101AMNS,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,2,1,3,,,,,,,,,2,,,,,,,,1,,5,101_5,101AM,101AMEW,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,2,1,4,2,,,,1,1,1,,,,,,,,,,1,,5,101_5,101AM,101AMEW,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,2,2,1,1,,,,1,,,,3,,,,,,,,1,,6,101_6,101AM,101AMNS,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,2,2,2,3,1,,,3,,,,,,,,,,,,1,,6,101_6,101AM,101AMNS,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,2,2,3,2,1,,,1,,1,,,,,,,,,,1,,6,101_6,101AM,101AMEW,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,2,2,4,2,1,,,2,,1,,,,,,,,,,1,,6,101_6,101AM,101AMEW,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,2,3,1,2,,,,2,,,,1,,,,,,,,1,,7,101_7,101AM,101AMNS,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,2,3,2,,,,,,,,,2,,,,,,,,1,,7,101_7,101AM,101AMNS,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,2,3,3,4,2,,,2,,1,,2,,,,,,,,1,,7,101_7,101AM,101AMEW,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,2,3,4,4,,,,2,,1,,1,,,,,,,,1,,7,101_7,101AM,101AMEW,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,2,4,1,5,,,,3,,2,,,,,,,,,,1,,8,101_8,101AM,101AMNS,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,2,4,2,,,,,,,,,,,,,,,,,1,,8,101_8,101AM,101AMNS,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,2,4,3,1,,,,,,1,,,,,,,,,,1,,8,101_8,101AM,101AMEW,,,,,,,,,,0,0,3,1
101,AM,"Joe (Okie) Oconnor",1,2,4,4,5,,,,3,,,,,,,,,,,,1,,8,101_8,101AM,101AMEW,,,,,,,,,,0,0,0,0
101,AM,"Joe (Okie) Oconnor",1,2,,,,,,,,,,,,,,,,,,,1,,,,101AM,,,,,,,,,,,0,0,0,0
102,AM,"Jennifer McCulley",2,1,1,1,3,,,1,2,,,,5,,,,,,,,2,2,1,102_1,102AM,102AMNS,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,1,2,7,3,,,7,,,1,6,,,,,,,,2,,1,102_1,102AM,102AMNS,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,1,3,2,,,,,,,,0,,,,,,,,2,,1,102_1,102AM,102AMEW,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,1,4,1,,,1,1,,,,6,,,,,,,,2,,1,102_1,102AM,102AMEW,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,2,1,6,1,,1,3,1,1,1,0,,,,,,,,2,,2,102_2,102AM,102AMNS,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,2,2,5,2,,1,2,1,1,1,3,,,,,,,,2,,2,102_2,102AM,102AMNS,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,2,3,,,,,,,,,0,,,,,,,,2,,2,102_2,102AM,102AMEW,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,2,4,1,,,,,,,,2,,,,,,,,2,,2,102_2,102AM,102AMEW,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,3,1,5,1,,,4,,,,5,,,,,,,,2,,3,102_3,102AM,102AMNS,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,3,2,5,2,,1,2,1,1,2,3,,,,,,,,2,,3,102_3,102AM,102AMNS,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,3,3,1,,,,,,,,1,,,,,,,,2,,3,102_3,102AM,102AMEW,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,3,4,,,,,,,,,2,,,,,,,,2,,3,102_3,102AM,102AMEW,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,4,1,6,1,,,4,0,1,2,4,,,,,,,,2,,4,102_4,102AM,102AMNS,,,,,,,,,,0,0,3,1
102,AM,"Jennifer McCulley",2,1,4,2,8,,,,2,3,2,,4,,,,,,,,2,,4,102_4,102AM,102AMNS,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,4,3,2,1,,,2,,,,1,,,,,,,,2,,4,102_4,102AM,102AMEW,,,,,,,,,,1,0,3,1
102,AM,"Jennifer McCulley",2,1,4,4,1,,,,1,,,,1,,,,,,,,2,,4,102_4,102AM,102AMEW,,,,,,,,,,0,0,3,1
